"Designator","Search","LCSC","MPN","Package","Lib","Stock","AssemblyFlag","Type","Desc"
"J5/J6","2.54mm SMT pin header 4P","C5378171","PZ2.54-2*2-SMT","SMD,P=2.54mm","expand","1652","False","Pin Headers","-40???~+105??? 2 2.54mm 2.54mm 2.54mm 2.5A 2x2P 4P 6mm Brass Gold Pin Header Surface Mount,Vertical SMD,P=2.54mm Pin Headers ROHS"
"J5/J6","2.54mm SMT pin header 4P","C60561","2.54-2*2AWPin","Push-Pull,P=2.54mm","expand","607","False","Pin Headers","-55???~+105??? 2 2.54mm 2.54mm 2.54mm 2x2P 3A 4P 6mm Black Brass Pin Header Right Angle ??????,P=2.54mm Pin Headers ROHS"
"J7","2.5mm 3pin connector horizontal","C2316","XH-3A","Plugin,P=2.5mm","expand","346842","False","Wire To Board Connector","1 10mm 1x3P 2.5mm 3 3P 5.8mm 7mm Through Hole White XH ??????,P=2.5mm Wire To Board Connector ROHS"
"J7","2.5mm 3pin connector horizontal","C2318","XH-5A","Plugin,P=2.5mm","expand","189848","False","Wire To Board Connector","1 15mm 1x5P 2.5mm 5 5.8mm 5P 7mm Through Hole White XH ??????,P=2.5mm Wire To Board Connector ROHS"
"J7","2.5mm 3pin connector horizontal","C5663","XH-6A","Plugin,P=2.5mm","expand","64459","False","Wire To Board Connector","1 17.5mm 1x6P 2.5mm 5.8mm 6 6P 7mm Through Hole White XH ??????,P=2.5mm Wire To Board Connector ROHS"
"J7","2.5mm 3pin connector horizontal","C2932719","KH-CL1.0-H2.5-13PIN","SMD,P=1mm,Surface Mount???Right Angle","expand","49","False","FFC, FPC (Flat Flexible) Connector Assemblies","-25???~+85??? 0.3mm 13P 1mm 2.5mm Bottom Contact Slide Lock Surface Mount, Right Angle SMD,P=1mm,?????? FFC, FPC (Flat Flexible) Connector Assemblies ROHS"
"J7","B3B-XH-A","C51940188","XY-B3B-XH-A","Plugin,P=2.5mm","expand","7745","False","Wire To Board Connector","-25???~+85??? 1 1x3P 2.54mm 250V 2A 3 3P Brass PA66 Through Hole Tin UL94V-0 White ??????,P=2.5mm Wire To Board Connector ROHS"
"J7","B3B-XH-A","C5352966","B3B-XH-AM-E","Plugin,P=2.5mm","expand","0","False","Wire To Board Connector","-25???~+85??? 1 1x3P 2.5mm 250V 3 3A 3P 5.75mm 7mm 9.9mm Blue Brass K Pin???With post PA66 Through Hole Tin UL94V-0 XH ??????,P=2.5mm Wire To Board Connector ROHS"
"J7","B3B-XH-A","C45661048","B3B-XH-AM","Throughhole","expand","0","False","SMT","Throughhole SMT ROHS"
"J7","B3B-XH-A","C5448350","B3B-XH-AM-R","Plugin,P=2.5mm","expand","0","False","Wire To Board Connector","-25???~+85??? 1 1x3P 2.5mm 250V 3 3A 3P 5.75mm 7mm 9.9mm Brass K Pin???With post PA66 Red Through Hole Tin UL94V-0 XH ??????,P=2.5mm Wire To Board Connector ROHS"
"J7","JST XH 3P horizontal","C144394","B3B-XH-A(LF)(SN)","Plugin,P=2.5mm","expand","241085","False","Wire To Board Connector","-25???~+85??? 1 1x3P 2.5mm 250V 3 3A 3P 5.75mm 7mm 9.9mm Brass K Pin PA66 Through Hole Tin UL94V-0 White XH ??????,P=2.5mm Wire To Board Connector ROHS"
"J7","JST XH 3P horizontal","C161870","B3B-XH-AM(LF)(SN)","Plugin,P=2.5mm","expand","87064","False","Wire To Board Connector","-25???~+85??? 1 1x3P 2.5mm 250V 3 3A 3P 5.75mm 7mm 9.9mm Brass K Pin???With post PA66 Through Hole Tin UL94V-0 White XH ??????,P=2.5mm Wire To Board Connector ROHS"
"J7","JST XH 3P horizontal","C157928","S3B-XH-A(LF)(SN)","Push-Pull,P=2.5mm","expand","86998","False","Wire To Board Connector","-25???~+85??? 1 11.5mm 1x3P 2.5mm 250V 3 3A 3P 6.1mm 9.9mm Brass K Pin PA66 Right Angle Tin UL94V-0 White XH ??????,P=2.5mm Wire To Board Connector ROHS"
"J7","JST XH 3P horizontal","C158003","B3B-XH-2(LF)(SN)","Plugin,P=2.5mm","expand","13555","False","Wire To Board Connector","-25???~+85??? 1 1x3P 2.5mm 250V 3 3A 3P 6.75mm 7mm 9.9mm Brass Glass-Fiber Reinforced PA66 Through Hole Tin UL94V-0 White XH ??????,P=2.5mm Wire To Board Connector ROHS"
"J7","S3B-XH-A","C157928","S3B-XH-A(LF)(SN)","Push-Pull,P=2.5mm","expand","86998","False","Wire To Board Connector","-25???~+85??? 1 11.5mm 1x3P 2.5mm 250V 3 3A 3P 6.1mm 9.9mm Brass K Pin PA66 Right Angle Tin UL94V-0 White XH ??????,P=2.5mm Wire To Board Connector ROHS"
"J7","S3B-XH-A","C163036","S3B-XH-A-1(LF)(SN)","Push-Pull,P=2.5mm","expand","43577","False","Wire To Board Connector","-25???~+85??? 1 11.5mm 1x3P 2.5mm 250V 3 3A 3P 6.1mm 9.9mm Brass K Pin PA66 Right Angle Tin UL94V-0 White XH ??????,P=2.5mm Wire To Board Connector ROHS"
"J7","S3B-XH-A","C20089274","S3B-XH-A-E","Push-Pull,P=2.5mm","expand","0","False","Wire To Board Connector","-25???~+85??? 1 11.5mm 1x3P 2.5mm 250V 3 3A 3P 6.1mm 9.9mm Blue Brass K Pin PA66 Right Angle Tin UL94V-0 XH Push-Pull,P=2.5mm Wire To Board Connector ROHS"
"J7","S3B-XH-A","C20089273","S3B-XH-A-1","Push-Pull,P=2.5mm","expand","0","False","Wire To Board Connector","-25???~+85??? 1 11.5mm 1x3P 2.5mm 250V 3 3A 3P 6.1mm 9.9mm Brass K Pin PA66 Right Angle Tin UL94V-0 White XH Push-Pull,P=2.5mm Wire To Board Connector ROHS"
"J8/J40/J41/J42","1.25mm 3pin connector vertical","C43462","1.25T-2PVertical welding","SMD,P=1.25mm","expand","1836","False","Wire To Board Connector","-25???~+85??? 1 1.25mm 125V 1A 1x2P 2 2P 3.7mm 4.75mm Beige PicoBlade(MX 1.25) Surface Mount,Vertical SMD,P=1.25mm Wire To Board Connector ROHS"
"J8/J40/J41/J42","1.25mm 3pin connector vertical","C37886","1.25T-5PVertical welding","SMD,P=1.25mm","expand","1707","False","Wire To Board Connector","-25???~+85??? 1 1.25mm 125V 1A 1x5P 3.7mm 4.75mm 5 5P Beige PicoBlade(MX 1.25) Surface Mount,Vertical SMD,P=1.25mm Wire To Board Connector ROHS"
"J8/J40/J41/J42","1.25mm 3pin connector vertical","C47608","1.25T-4PVertical welding","SMD,P=1.25mm","expand","637","False","Wire To Board Connector","-25???~+85??? 1 1.25mm 13.65mm 1x4P 3.7mm 4 4P 500mA 50V Beige LCP Phosphor Bronze PicoBlade(MX 1.25) Surface Mount,Vertical Tin SMD,P=1.25mm Wire To Board Connector ROHS"
